,pId,category
565,1852,43P
566,1854,59P
567,1855,51B
568,1856,19G
569,1858,62P
570,1862,4S
571,1863,13G
572,1864,32B
573,1865,14G
574,1866,19P
575,1871,51B
576,1874,13S
577,1875,19G
578,1876,4S
579,1878,37G
580,1881,33G
581,1884,44G
582,1885,33G
583,1887,67G
584,1890,19S
585,1891,4G
586,1892,52G
587,1893,3P
588,1894,2B
589,1895,46S
590,1896,24G
591,1897,29G
592,1898,33G
593,1900,15S
594,1902,4G
595,1904,19S
596,1905,21P
597,1907,51S
598,1908,52P
599,1911,15S
600,1912,19S
601,1913,2S
602,1914,53S
603,1915,19G
604,1916,58G
605,1917,2G
606,1918,13G
607,1919,51B
608,1920,26S
609,1922,14G
610,1924,2B
611,1925,2S
612,1926,24S
613,1927,5S
614,1929,22S
615,1930,55G
616,1931,15S
617,1932,19S
618,1933,5G
619,1934,65S
620,1935,13S
621,1937,9G
622,1938,36G
623,1939,28G
624,1940,46S
625,1941,66G
626,1942,32B
627,1943,19G
628,1944,1G
629,1945,15G
630,1946,15S
631,1947,48G
632,1948,10P
633,1949,60G
634,1951,4S
635,1952,55B
636,1953,24G
637,1954,11G
638,1955,19G
639,1956,14G
640,1958,19G
641,1959,4G
642,1960,15G
643,1963,42G
644,1964,4B
645,1965,19S
646,1966,57S
647,1967,49G
648,1969,51S
649,1970,19P
650,1972,61S
651,1974,12P
652,1975,39B
653,1976,28G
654,1977,55B
655,1978,22S
656,1979,4P
657,1980,11S
658,1981,1G
659,1982,19P
660,1983,19G
661,1985,11S
662,1986,2S
663,1987,66G
664,1988,19G
665,1989,21P
666,1990,22G
667,1991,37S
668,1992,53S
669,1994,40P
670,1996,2B
671,1997,2S
672,1998,17G
673,1999,21P
674,2001,1G
675,2002,61S
676,2003,12S
677,2004,39S
678,2006,3G
679,2007,6P
680,2008,19P
681,2010,41B
682,2011,19G
683,2012,15S
684,2013,0G
685,2014,5G
686,2015,26G
687,2016,2S
688,2018,4S
689,2019,29G
690,2020,3P
691,2021,1G
692,2022,4S
693,2023,50G
694,2024,15G
695,2026,47G
696,2028,4B
697,2029,2S
698,2031,20G
699,2033,55B
700,2034,2S
701,2036,15S
702,2037,51B
703,2038,48G
704,2042,21G
705,2044,54G
706,2045,2G
707,2047,14P
708,2052,4B
709,2055,4G
710,2056,44G
711,2057,4S
712,2058,60G
713,2061,11B
714,2063,15S
715,2064,67G
716,2065,57G
717,2066,19G
718,2069,15G
719,2070,33G
720,2072,2S
721,2073,19G
722,2074,1G
723,2075,5G
724,2078,37S
725,2079,19G
726,2082,2S
727,2083,2B
728,2086,23G
729,2087,67G
730,2089,39S
731,2090,65S
732,2091,11G
733,2092,19G
734,2096,19G
735,2097,4B
736,2098,43G
737,2099,23G
738,2102,4P
739,2103,46S
740,2104,21P
741,2105,28P
742,2107,54G
743,2108,55S
744,2109,5G
745,2110,20G
746,2112,20P
747,2115,51G
748,2116,11G
749,2117,52S
750,2118,16S
751,2121,17S
752,2123,15P
753,2126,14P
754,2128,67G
755,2130,20P
756,2132,49G
757,2133,19G
758,2135,19P
759,2136,6G
760,2137,31G
761,2138,33S
762,2139,41B
763,2140,33G
764,2141,15G
765,2142,31G
766,2143,20G
767,2145,41B
768,2146,1G
769,2148,54S
770,2149,54S
771,2150,14P
772,2151,1G
773,2153,50B
774,2154,51B
775,2155,55G
776,2156,19S
777,2157,19G
778,2158,58G
779,2159,19G
780,2160,11B
781,2161,57B
782,2162,0P
783,2163,4B
784,2164,57S
785,2166,12G
786,2167,16B
787,2168,65S
788,2169,19G
789,2170,15G
790,2171,11G
791,2172,19P
792,2173,2G
793,2174,2G
794,2175,12S
795,2176,44G
796,2178,1S
797,2179,5G
798,2180,15P
799,2183,51B
800,2186,9G
801,2187,11G
802,2189,2S
803,2190,11G
804,2191,12P
805,2193,19S
806,2194,1G
807,2195,33G
808,2199,6G
809,2200,55S
810,2201,19G
811,2204,3S
812,2205,30S
813,2206,1G
814,2207,14P
815,2208,19G
816,2210,9S
817,2211,58G
818,2212,15G
819,2213,60G
820,2214,3G
821,2216,19G
822,2217,15S
823,2218,19G
824,2219,14G
825,2220,33P
826,2222,56P
827,2224,14G
828,2225,48G
829,2226,48G
830,2228,19G
831,2229,19G
832,2230,46G
833,2231,11B
834,2232,33S
835,2233,13G
836,2234,1G
837,2235,51S
838,2236,15S
839,2237,19P
840,2238,2S
841,2239,2G
842,2240,19G
843,2243,21P
844,2244,12P
845,2246,11S
846,2247,39G
847,2248,19G
848,2250,49G
849,2251,24S
850,2252,14G
851,2253,19G
852,2254,12P
853,2257,18S
854,2258,15S
855,2262,33G
856,2263,53G
857,2264,20G
858,2266,19G
859,2268,21G
860,2270,53G
861,2271,21P
862,2273,14G
863,2275,60G
864,2276,59P
865,2278,58G
866,2281,19G
867,2283,12G
868,2285,33G
869,2287,26G
870,2290,2S
871,2291,19G
872,2292,4B
873,2293,19G
874,2294,19S
875,2295,20G
876,2296,19G
877,2300,19G
878,2302,19S
879,2303,11S
880,2304,13S
881,2305,19G
882,2306,19G
883,2307,58G
884,2309,46B
885,2310,24G
886,2312,22S
887,2313,19G
888,2319,19P
889,2320,43G
890,2325,58P
891,2328,22P
892,2329,19P
893,2331,55S
894,2335,19G
895,2339,53G
896,2341,19G
897,2342,19G
898,2343,20S
899,2344,2G
900,2346,17S
901,2350,0G
902,2352,20G
903,2355,4B
904,2357,21G
905,2358,40S
906,2369,11P
907,2370,12G
908,2374,33G
909,2375,15G
910,2376,37P
911,2379,49P
912,2381,6G
913,2386,51B
914,2388,33P
915,2391,51B
916,2398,58G
917,2399,55B
918,2403,33G
919,2404,47S
920,2405,30G
921,2406,14G
922,2407,48S
923,2408,41B
924,2410,19S
925,2411,19G
926,2412,1G
927,2413,33G
928,2417,4S
929,2418,19G
930,2420,41B
